CdStationMesureEauxSurface;LbStationMesureEauxSurface;DtAnaTemp;HrAnaTemp;CdParametre;LbLongParamètre;CdFractionAnalysee;LbFractionAnalysee;RsAneTemp;CdUniteMesure;SymUniteMesure;CdStatutAnaTemp;MnemoStatutAna;CdQualAna;LbQualAna;INTProd;NomProducteur;INTGest;NomGest
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;13:00:00;1301;Température de l'Eau;23;Eau brute;6.9400000572204599;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;14:00:00;1301;Température de l'Eau;23;Eau brute;7.1669998168945304;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;15:00:00;1301;Température de l'Eau;23;Eau brute;7.3179998397827104;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;16:00:00;1301;Température de l'Eau;23;Eau brute;7.4939999580383301;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;17:00:00;1301;Température de l'Eau;23;Eau brute;7.6189999580383301;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;18:00:00;1301;Température de l'Eau;23;Eau brute;7.6449999809265101;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;19:00:00;1301;Température de l'Eau;23;Eau brute;7.6189999580383301;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;20:00:00;1301;Température de l'Eau;23;Eau brute;7.5939998626709002;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;21:00:00;1301;Température de l'Eau;23;Eau brute;7.5440001487731898;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;22:00:00;1301;Température de l'Eau;23;Eau brute;7.4939999580383301;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;23:00:00;1301;Température de l'Eau;23;Eau brute;7.4689998626709002;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;06/01/2014;00:00:00;1301;Température de l'Eau;23;Eau brute;7.4439997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;06/01/2014;01:00:00;1301;Température de l'Eau;23;Eau brute;7.4439997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;06/01/2014;02:00:00;1301;Température de l'Eau;23;Eau brute;7.4689998626709002;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;06/01/2014;03:00:00;1301;Température de l'Eau;23;Eau brute;7.4689998626709002;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;06/01/2014;04:00:00;1301;Température de l'Eau;23;Eau brute;7.4439997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
